CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,TRAFFIC_CONTROL_DEVICE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_TOTAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,BEAT_OF_OCCURRENCE,STREET_NAME,LATITUDE,LONGITUDE,DATE_POLICE_NOTIFIED,year
CR00000677,05/07/2018 12:06:00 PM,15,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,NO CONTROLS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,0,0,0,12,2,5,729,DAMEN AVE,41.967059,-87.784845,05/07/2018 12:52:00 PM,2018
CR00000678,05/22/2016 03:00:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,15,1,5,1896,63RD ST,41.89699,-87.770867,05/22/2016 03:51:00 PM,2016
CR00000679,05/31/2024 02:10:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,14,6,5,1456,PULASKI RD,41.924127,-87.847966,05/31/2024 04:04:00 PM,2024
CR00000680,10/18/2016 06:12:00 PM,25,CLEAR,DUSK,REAR TO FRONT,T-INTERSECTION,TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DISREGARDING TRAFFIC SIGNALS,0,0,1,1,18,3,10,1692,HALSTED ST,41.826329,-87.657457,10/18/2016 07:55:00 PM,2016
CR00000681,03/25/2016 06:50:00 AM,30,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,0,0,0,0,6,6,3,1879,LAKE SHORE DR,41.746663,-87.675,03/25/2016 08:29:00 AM,2016
CR00000682,03/31/2018 10:31:00 AM,40,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,T-INTERSECTION,NO CONTROLS,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED,0,0,0,0,10,7,3,1113,63RD ST,41.828686,-87.633835,03/31/2018 12:05:00 PM,2018
CR00000683,03/15/2024 01:12:00 PM,40,RAIN,DAYLIGHT,REAR END,FOUR WAY,STOP SIGN/FLASHER,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,0,0,13,6,3,1039,ASHLAND AVE,41.934815,-87.813927,03/15/2024 02:46:00 PM,2024
CR00000684,06/25/2016 01:02:00 PM,45,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,FOLLOWING TOO CLOSELY,0,0,0,0,13,7,6,1047,MICHIGAN AVE,41.757653,-87.798827,06/25/2016 01:05:00 PM,2016
CR00000685,10/08/2018 01:30:00 PM,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,0,0,0,0,13,2,10,294,STONY ISLAND AVE,41.828122,-87.831921,10/08/2018 01:45:00 PM,2018
CR00000686,06/17/2015 12:03:00 AM,45,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,FOLLOWING TOO CLOSELY,0,0,0,0,0,4,6,1346,ASHLAND AVE,41.796492,-87.750139,06/17/2015 12:39:00 AM,2015
CR00000687,02/01/2016 06:00:00 PM,30,CLOUDY/OVERCAST,DAWN,PARKED MOTOR VEHICLE,ONE-WAY,STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,FOLLOWING TOO CLOSELY,0,0,0,0,18,2,2,1230,KEDZIE AVE,41.931139,-87.804392,02/01/2016 06:47:00 PM,2016
CR00000688,07/21/2021 12:05:00 PM,30,CLEAR,DARKNESS,TURNING,NOT DIVIDED,NO CONTROLS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DISTRACTION - FROM INSIDE VEHICLE,0,0,1,1,12,4,7,1504,CLARK ST,41.712312,-87.511084,07/21/2021 01:59:00 PM,2021
CR00000689,02/19/2023 03:48:00 PM,35,RAIN,DARKNESS,SIDESWIPE SAME DIRECTION,T-INTERSECTION,STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,0,0,0,0,15,1,2,1599,CALIFORNIA AVE,41.916231,-87.834666,02/19/2023 04:13:00 PM,2023
CR00000690,01/23/2022 06:07:00 PM,25,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,UNKNOWN,UNABLE TO DETERMINE,DISREGARDING TRAFFIC SIGNALS,0,0,3,3,18,1,1,1728,LAKE SHORE DR,41.937266,-87.791573,01/23/2022 06:43:00 PM,2022
CR00000691,09/05/2022 04:55:00 PM,35,RAIN,DAWN,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,16,2,9,853,WESTERN AVE,41.722496,-87.696789,09/05/2022 06:01:00 PM,2022
CR00000692,10/17/2016 04:13:00 PM,35,CLEAR,DARKNESS,PEDESTRIAN,ONE-WAY,NO CONTROLS,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,0,0,0,16,2,10,1002,CLARK ST,41.702658,-87.52498,10/17/2016 05:19:00 PM,2016
CR00000693,12/11/2022 09:35:00 AM,15,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,DISTRACTION - FROM INSIDE VEHICLE,0,0,0,0,9,1,12,1119,KEDZIE AVE,41.767179,-87.663252,12/11/2022 10:13:00 AM,2022
CR00000694,12/29/2020 07:00:00 AM,20,CLOUDY/OVERCAST,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,0,0,0,0,7,3,12,1307,MILWAUKEE AVE,41.889805,-87.509723,12/29/2020 07:42:00 AM,2020
CR00000695,08/23/2015 05:52:00 PM,25,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,PEDESTRIAN CROSSING SIGN,WEATHER,IMPROPER LANE USAGE,0,0,0,0,17,1,8,535,ROOSEVELT RD,41.806645,-87.594333,08/23/2015 06:28:00 PM,2015
CR00000696,05/13/2023 06:24:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,FOUR WAY,YIELD,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,3,3,18,7,5,1927,MICHIGAN AVE,41.865263,-87.564104,05/13/2023 06:53:00 PM,2023
CR00000697,03/09/2023 07:27:00 PM,35,CLEAR,DAYLIGHT,REAR END,ONE-WAY,TRAFFIC SIGNAL,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,0,0,0,0,19,5,3,1255,WESTERN AVE,41.97065,-87.817208,03/09/2023 07:51:00 PM,2023
CR00000698,06/24/2018 07:56:00 AM,25,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,0,0,7,1,6,2257,HALSTED ST,41.818259,-87.637262,06/24/2018 08:05:00 AM,2018
CR00000699,02/24/2023 07:51:00 PM,15,FOG/SMOKE/HAZE,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,NO CONTROLS,WEATHER,UNABLE TO DETERMINE,0,0,0,0,19,6,2,1196,HALSTED ST,41.729919,-87.715603,02/24/2023 08:06:00 PM,2023
CR00000700,01/13/2022 05:00:00 PM,20,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STOP SIGN/FLASHER,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,0,0,3,3,17,5,1,768,CLARK ST,41.920839,-87.731564,01/13/2022 06:31:00 PM,2022
CR00000701,09/20/2018 03:09:00 PM,20,CLEAR,DAYLIGHT,REAR END,ONE-WAY,NO CONTROLS,UNABLE TO DETERMINE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,0,0,0,15,5,9,1801,HALSTED ST,41.863058,-87.75639,09/20/2018 04:19:00 PM,2018
CR00000702,01/05/2015 08:01:00 AM,30,SNOW,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,0,0,0,0,8,2,1,551,MICHIGAN AVE,41.815615,-87.726342,01/05/2015 08:38:00 AM,2015
CR00000703,02/21/2016 10:22:00 AM,20,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,FOLLOWING TOO CLOSELY,0,0,0,0,10,1,2,842,63RD ST,41.800117,-87.723827,02/21/2016 12:21:00 PM,2016
CR00000704,10/08/2019 07:57:00 AM,20,CLEAR,DARKNESS - LIGHTED ROAD,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,FAILING TO REDUCE SPEED,NOT APPLICABLE,0,0,0,0,7,3,10,412,WESTERN AVE,41.790469,-87.563853,10/08/2019 08:42:00 AM,2019
CR00000705,08/30/2024 07:49:00 AM,35,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,7,6,8,470,MILWAUKEE AVE,41.796077,-87.71329,08/30/2024 09:22:00 AM,2024
CR00000706,06/06/2016 08:49:00 AM,35,RAIN,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,8,2,6,1814,ELSTON AVE,41.795795,-87.701659,06/06/2016 10:18:00 AM,2016
CR00000707,07/29/2020 04:34:00 PM,45,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,ONE-WAY,PEDESTRIAN CROSSING SIGN,FAILING TO REDUCE SPEED,NOT APPLICABLE,0,0,0,0,16,4,7,998,47TH ST,41.860864,-87.76946,07/29/2020 04:45:00 PM,2020
CR00000708,12/24/2015 09:23:00 AM,35,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,WEATHER,NOT APPLICABLE,0,0,0,0,9,5,12,670,CLARK ST,41.998172,-87.843996,12/24/2015 10:35:00 AM,2015
CR00000709,02/29/2020 07:53:00 AM,25,CLEAR,DARKNESS,PEDESTRIAN,NOT DIVIDED,TRAFFIC SIGNAL,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,0,0,1,1,7,7,2,1839,ARCHER AVE,41.763221,-87.771394,02/29/2020 09:29:00 AM,2020
CR00000710,08/10/2015 06:06:00 PM,25,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,NO CONTROLS,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,18,2,8,151,FULLERTON AVE,41.722131,-87.556897,08/10/2015 07:58:00 PM,2015
CR00000711,04/27/2024 10:26:00 PM,40,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,FOLLOWING TOO CLOSELY,IMPROPER OVERTAKING/PASSING,0,0,0,0,22,7,4,154,CLARK ST,41.754727,-87.589755,04/28/2024 12:02:00 AM,2024
CR00000712,03/31/2016 07:03:00 AM,35,RAIN,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED,0,0,3,3,7,5,3,1031,DAMEN AVE,41.748105,-87.711263,03/31/2016 07:58:00 AM,2016
CR00000713,10/04/2016 09:05:00 AM,35,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,DISREGARDING TRAFFIC SIGNALS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,0,0,0,9,3,10,416,47TH ST,41.993378,-87.806203,10/04/2016 09:33:00 AM,2016
CR00000714,04/02/2020 03:20:00 PM,30,SNOW,DAYLIGHT,REAR END,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,15,5,4,1585,DIVISION ST,41.82153,-87.716835,04/02/2020 03:27:00 PM,2020
CR00000715,09/25/2023 11:01:00 AM,45,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STOP SIGN/FLASHER,UNABLE TO DETERMINE,DISTRACTION - FROM INSIDE VEHICLE,0,0,0,0,11,2,9,232,MICHIGAN AVE,41.748828,-87.812737,09/25/2023 11:29:00 AM,2023
CR00000716,01/07/2018 05:36:00 AM,15,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,TRAFFIC SIGNAL,DISREGARDING TRAFFIC SIGNALS,FOLLOWING TOO CLOSELY,0,0,0,0,5,1,1,1730,OGDEN AVE,41.869122,-87.573421,01/07/2018 05:42:00 AM,2018
CR00000717,03/09/2017 11:48:00 AM,20,CLEAR,DAYLIGHT,REAR TO FRONT,ONE-WAY,NO CONTROLS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,0,0,0,0,11,5,3,715,WESTERN AVE,41.806751,-87.804669,03/09/2017 01:15:00 PM,2017
CR00000718,08/02/2021 08:24:00 PM,25,SNOW,DAYLIGHT,REAR END,FOUR WAY,NO CONTROLS,FAILING TO REDUCE SPEED,UNABLE TO DETERMINE,0,0,0,0,20,2,8,983,63RD ST,41.960644,-87.836907,08/02/2021 08:45:00 PM,2021
CR00000719,05/03/2022 07:49:00 AM,45,SNOW,DARKNESS - LIGHTED ROAD,REAR TO FRONT,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,UNABLE TO DETERMINE,FOLLOWING TOO CLOSELY,0,0,0,0,7,3,5,1291,ARCHER AVE,41.998025,-87.674433,05/03/2022 09:23:00 AM,2022
CR00000720,12/28/2021 02:02:00 PM,35,CLEAR,DAYLIGHT,REAR END,T-INTERSECTION,NO CONTROLS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,0,0,3,3,14,3,12,457,LAKE SHORE DR,41.882063,-87.514695,12/28/2021 03:15:00 PM,2021
CR00000721,01/21/2016 02:20:00 PM,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,UNKNOWN,WEATHER,IMPROPER OVERTAKING/PASSING,0,0,0,0,14,5,1,1156,LAKE SHORE DR,41.788682,-87.826143,01/21/2016 03:34:00 PM,2016
CR00000722,11/14/2017 08:56:00 PM,35,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,0,0,0,0,20,3,11,628,CALIFORNIA AVE,41.977248,-87.52106,11/14/2017 10:09:00 PM,2017
CR00000723,02/11/2019 03:54:00 PM,40,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STOP SIGN/FLASHER,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,0,0,15,2,2,1102,47TH ST,41.794094,-87.820778,02/11/2019 04:47:00 PM,2019
CR00000724,03/17/2024 04:00:00 PM,35,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,UNABLE TO DETERMINE,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,16,1,3,2008,CALIFORNIA AVE,41.731589,-87.718462,03/17/2024 05:13:00 PM,2024
CR00000725,03/16/2022 04:57:00 PM,20,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,NO CONTROLS,FAILING TO REDUCE SPEED,DISREGARDING TRAFFIC SIGNALS,0,0,2,2,16,4,3,2050,ASHLAND AVE,41.930465,-87.780185,03/16/2022 05:40:00 PM,2022
CR00000726,02/14/2018 02:02:00 PM,30,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,T-INTERSECTION,TRAFFIC SIGNAL,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,14,4,2,1580,DAMEN AVE,41.98456,-87.79907,02/14/2018 02:30:00 PM,2018
CR00000727,04/23/2020 08:03:00 AM,30,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,FOLLOWING TOO CLOSELY,0,0,0,0,8,5,4,1759,CICERO AVE,41.706883,-87.584484,04/23/2020 08:58:00 AM,2020
CR00000728,05/06/2018 06:28:00 PM,35,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,0,0,1,1,18,1,5,2072,LAKE SHORE DR,41.755223,-87.83119,05/06/2018 08:23:00 PM,2018
CR00000729,01/02/2021 06:50:00 PM,45,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,NO CONTROLS,UNABLE TO DETERMINE,DISREGARDING TRAFFIC SIGNALS,0,0,0,0,18,7,1,2469,DIVISION ST,41.909007,-87.725858,01/02/2021 08:19:00 PM,2021
CR00000730,08/15/2016 11:42:00 AM,25,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,0,1,1,11,2,8,115,CALIFORNIA AVE,41.704256,-87.536225,08/15/2016 01:42:00 PM,2016
CR00000731,05/02/2024 07:40:00 AM,30,CLEAR,DARKNESS,ANGLE,T-INTERSECTION,NO CONTROLS,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,7,5,5,985,ARCHER AVE,41.990837,-87.815894,05/02/2024 08:08:00 AM,2024
CR00000732,05/09/2017 08:43:00 AM,30,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,DISTRACTION - FROM INSIDE VEHICLE,IMPROPER OVERTAKING/PASSING,0,0,0,0,8,3,5,1795,DAMEN AVE,41.704311,-87.565177,05/09/2017 08:46:00 AM,2017
CR00000733,12/11/2018 12:53:00 PM,25,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,IMPROPER LANE USAGE,UNABLE TO DETERMINE,0,0,0,0,12,3,12,2323,DAMEN AVE,41.856951,-87.582222,12/11/2018 01:08:00 PM,2018
CR00000734,04/12/2019 10:54:00 AM,45,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STOP SIGN/FLASHER,UNABLE TO DETERMINE,IMPROPER LANE USAGE,0,0,0,0,10,6,4,1784,ASHLAND AVE,41.904085,-87.628062,04/12/2019 12:24:00 PM,2019
CR00000735,07/26/2020 07:48:00 PM,45,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,UNABLE TO DETERMINE,WEATHER,0,0,0,0,19,1,7,1962,ELSTON AVE,41.86342,-87.628266,07/26/2020 08:53:00 PM,2020
CR00000736,04/10/2019 07:12:00 AM,35,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,NO CONTROLS,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,1,2,3,7,4,4,1183,CLARK ST,41.972398,-87.624299,04/10/2019 08:53:00 AM,2019
CR00000737,05/27/2024 08:58:00 PM,15,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,DISREGARDING TRAFFIC SIGNALS,IMPROPER LANE USAGE,0,0,0,0,20,2,5,1400,MILWAUKEE AVE,41.772466,-87.534934,05/27/2024 09:52:00 PM,2024
CR00000738,11/29/2016 04:27:00 PM,35,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,DISREGARDING TRAFFIC SIGNALS,0,0,0,0,16,3,11,811,BROADWAY,41.992047,-87.782569,11/29/2016 05:50:00 PM,2016
CR00000739,07/27/2018 03:10:00 PM,20,RAIN,DARKNESS - LIGHTED ROAD,TURNING,T-INTERSECTION,STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,0,0,0,15,6,7,2364,STONY ISLAND AVE,41.729873,-87.56959,07/27/2018 04:15:00 PM,2018
CR00000740,08/13/2018 08:05:00 AM,25,CLEAR,DARKNESS - LIGHTED ROAD,PEDESTRIAN,ONE-WAY,NO CONTROLS,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,8,2,8,203,ROOSEVELT RD,41.831226,-87.629887,08/13/2018 09:21:00 AM,2018
CR00000741,03/27/2023 07:29:00 AM,30,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,UNKNOWN,WEATHER,NOT APPLICABLE,0,0,0,0,7,2,3,1648,IRVING PARK RD,41.933277,-87.784706,03/27/2023 08:53:00 AM,2023
CR00000742,12/02/2017 06:03:00 PM,45,CLEAR,DAYLIGHT,TURNING,FOUR WAY,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,18,7,12,1256,STATE ST,41.980493,-87.630397,12/02/2017 07:25:00 PM,2017
CR00000743,01/09/2017 05:04:00 AM,20,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,TRAFFIC SIGNAL,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,0,0,5,2,1,961,63RD ST,41.808419,-87.556589,01/09/2017 05:55:00 AM,2017
CR00000744,09/16/2019 12:56:00 PM,30,CLEAR,DAYLIGHT,FIXED OBJECT,ONE-WAY,STOP SIGN/FLASHER,IMPROPER LANE USAGE,NOT APPLICABLE,0,0,0,0,12,2,9,228,ASHLAND AVE,41.972491,-87.567008,09/16/2019 01:20:00 PM,2019
CR00000745,11/05/2018 11:30:00 AM,40,CLEAR,DARKNESS - LIGHTED ROAD,ANGLE,T-INTERSECTION,NO CONTROLS,UNABLE TO DETERMINE,NOT APPLICABLE,0,2,1,3,11,2,11,1594,ASHLAND AVE,41.977975,-87.782504,11/05/2018 11:34:00 AM,2018
CR00000746,06/07/2017 01:20:00 AM,30,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO REDUCE SPEED,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,0,0,0,1,4,6,1305,CALIFORNIA AVE,41.725033,-87.607939,06/07/2017 01:37:00 AM,2017
CR00000747,05/11/2023 09:31:00 PM,25,CLEAR,DARKNESS,PEDESTRIAN,NOT DIVIDED,TRAFFIC SIGNAL,UNABLE TO DETERMINE,IMPROPER LANE USAGE,0,0,0,0,21,5,5,2506,CLARK ST,41.983904,-87.527178,05/11/2023 10:04:00 PM,2023
CR00000748,11/09/2016 08:13:00 PM,45,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,0,0,2,2,20,4,11,1631,79TH ST,41.878899,-87.754914,11/09/2016 08:54:00 PM,2016
CR00000749,03/10/2024 04:28:00 AM,35,CLEAR,DARKNESS - LIGHTED ROAD,PARKED MOTOR VEHICLE,ONE-WAY,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,0,0,4,1,3,569,STONY ISLAND AVE,41.710128,-87.671025,03/10/2024 05:44:00 AM,2024
CR00000750,01/27/2024 11:27:00 AM,30,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),NO CONTROLS,IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,0,1,1,2,11,7,1,1417,MICHIGAN AVE,41.743512,-87.739941,01/27/2024 11:29:00 AM,2024
CR00000751,04/19/2021 04:24:00 AM,30,CLOUDY/OVERCAST,DARKNESS - LIGHTED ROAD,FIXED OBJECT,NOT DIVIDED,STOP SIGN/FLASHER,DISTRACTION - FROM INSIDE VEHICLE,FAILING TO YIELD RIGHT-OF-WAY,0,0,0,0,4,2,4,1882,MILWAUKEE AVE,41.763653,-87.773888,04/19/2021 05:36:00 AM,2021
CR00000752,02/14/2024 11:12:00 AM,35,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,IMPROPER LANE USAGE,0,0,0,0,11,4,2,1668,MICHIGAN AVE,41.940818,-87.675472,02/14/2024 11:48:00 AM,2024
CR00000753,06/18/2021 01:18:00 AM,35,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,0,0,0,0,1,6,6,1481,79TH ST,41.934992,-87.648484,06/18/2021 01:19:00 AM,2021
CR00000754,03/08/2015 04:30:00 AM,30,FOG/SMOKE/HAZE,DAYLIGHT,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,WEATHER,FOLLOWING TOO CLOSELY,0,0,0,0,4,1,3,2122,DIVISION ST,41.940754,-87.596861,03/08/2015 05:06:00 AM,2015
CR00000755,07/12/2015 01:19:00 PM,20,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,13,1,7,142,HALSTED ST,41.836375,-87.552965,07/12/2015 03:16:00 PM,2015
CR00000756,03/06/2016 11:55:00 AM,30,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,11,1,3,296,CLARK ST,41.830705,-87.790433,03/06/2016 12:20:00 PM,2016
CR00000757,11/04/2015 09:21:00 AM,25,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,NO CONTROLS,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,0,0,0,9,4,11,706,IRVING PARK RD,41.937488,-87.717155,11/04/2015 10:51:00 AM,2015
CR00000758,07/20/2021 01:40:00 PM,35,SNOW,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),PEDESTRIAN CROSSING SIGN,DISREGARDING TRAFFIC SIGNALS,IMPROPER OVERTAKING/PASSING,0,0,0,0,13,3,7,1025,CICERO AVE,41.736712,-87.665344,07/20/2021 02:54:00 PM,2021
